level,model_a,model_b,metric,difference_a_minus_b,ci_low,ci_high,bootstrap_samples_valid,primary_dual_component_pair
patient,EfficientNetB3,ConvNeXtTiny,auprc,-0.011930586385179964,-0.0328531232783435,0.00801662981084293,2000,False
patient,EfficientNetB3,ConvNeXtTiny,accuracy,-0.017591339648173165,-0.043301759133964834,0.006765899864682012,2000,False
patient,EfficientNetB3,ConvNeXtTiny,balanced_accuracy,-0.019019066770391557,-0.04492595570076141,0.006184795410598235,2000,False
patient,EfficientNetB3,ConvNeXtTiny,sensitivity,-0.05099150141643061,-0.09649586579742404,-0.005797101449275363,2000,False
patient,EfficientNetB3,ConvNeXtTiny,specificity,0.012953367875647714,-0.012469607231920199,0.03703703703703698,2000,False
patient,EfficientNetB3,ConvNeXtTiny,precision,0.011578704416064012,-0.02025487901202569,0.04281276501478921,2000,False
patient,EfficientNetB3,ConvNeXtTiny,f1,-0.027260179434092424,-0.060547244364135965,0.0042893659494808445,2000,False
patient,EfficientNetB3,ConvNeXtTiny,mcc,-0.027975985640501078,-0.07694022222818081,0.01914978335499187,2000,False
patient,EfficientNetB3,YOLOv8sSeg,roc_auc,-0.01192223575863427,-0.026595536461397375,0.0021106935803788624,2000,False
patient,EfficientNetB3,YOLOv8sSeg,auprc,-0.01328865862613493,-0.036354363844786394,0.0069809683057150684,2000,False
patient,EfficientNetB3,YOLOv8sSeg,accuracy,-0.050067658998646736,-0.07581190798376192,-0.024357239512855178,2000,False
patient,EfficientNetB3,YOLOv8sSeg,balanced_accuracy,-0.05337668247002014,-0.07927590051301749,-0.02785934568009153,2000,False
patient,EfficientNetB3,YOLOv8sSeg,sensitivity,-0.12747875354107652,-0.17232134007334723,-0.07999724517906334,2000,False
patient,EfficientNetB3,YOLOv8sSeg,specificity,0.020725388601036343,-0.005142052436845337,0.045339240506329086,2000,False
patient,EfficientNetB3,YOLOv8sSeg,precision,0.01321662714465055,-0.018232974570022435,0.04463305717708569,2000,False
patient,EfficientNetB3,YOLOv8sSeg,f1,-0.0704711936811021,-0.1040102920822471,-0.038496139285749915,2000,False
patient,EfficientNetB3,YOLOv8sSeg,mcc,-0.0870731136030789,-0.13864311532910595,-0.03817607363464404,2000,False
patient,ConvNeXtTiny,YOLOv8sSeg,roc_auc,0.0014164305949009304,-0.009897031544731389,0.0129439486426058,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,auprc,-0.0013580722409549661,-0.01645378577046169,0.013929850661882409,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,accuracy,-0.03247631935047357,-0.05548037889039248,-0.010825439783491153,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,balanced_accuracy,-0.034357615699628585,-0.05762220266764176,-0.01175571263631886,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,sensitivity,-0.07648725212464591,-0.11504424778761058,-0.03773448181569593,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,specificity,0.007772020725388629,-0.017456359102244412,0.030456852791878153,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,precision,0.0016379227285865383,-0.02738933245944545,0.029892262505692588,2000,True
patient,ConvNeXtTiny,YOLOv8sSeg,f1,-0.04321101424700968,-0.0713972002691228,-0.0168916677289407,2000,True
