model,level,nodule_size_group,n,benign_n,malignant_n,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,sensitivity_malignant,sensitivity_ci_low,sensitivity_ci_high,specificity_benign,specificity_ci_low,specificity_ci_high,precision_malignant,f1_malignant,mcc,tn,fp,fn,tp,classification_ci_method,classification_bootstrap_samples,classification_bootstrap_patients,accuracy_bootstrap_ci_low,accuracy_bootstrap_ci_high,accuracy_bootstrap_valid,balanced_accuracy_bootstrap_ci_low,balanced_accuracy_bootstrap_ci_high,balanced_accuracy_bootstrap_valid,sensitivity_malignant_bootstrap_ci_low,sensitivity_malignant_bootstrap_ci_high,sensitivity_malignant_bootstrap_valid,specificity_benign_bootstrap_ci_low,specificity_benign_bootstrap_ci_high,specificity_benign_bootstrap_valid,precision_malignant_bootstrap_ci_low,precision_malignant_bootstrap_ci_high,precision_malignant_bootstrap_valid,f1_malignant_bootstrap_ci_low,f1_malignant_bootstrap_ci_high,f1_malignant_bootstrap_valid,mcc_bootstrap_ci_low,mcc_bootstrap_ci_high,mcc_bootstrap_valid
EfficientNetB3,patient,large,218,156,62,0.9311926605504587,0.8895902420660312,0.9578618122046411,0.8936104218362282,0.8064516129032258,0.6914820382117386,0.8856619175970974,0.9807692307692307,0.9449912800060954,0.9934385936117746,0.9433962264150944,0.8695652173913043,0.8278941649036681,153,3,12,50,patient bootstrap / patient-cluster bootstrap,2000,218,0.8944954128440367,0.963302752293578,2000,0.8365909162550142,0.9420428038428942,2000,0.6986247010219613,0.9014084507042254,2000,0.9562431210691824,1.0,2000,0.8695366132723112,1.0,2000,0.7872340425531915,0.9302406330749353,2000,0.7320238128367715,0.9063293820254552,2000
ConvNeXtTiny,image,small,733,326,407,0.7339699863574352,0.7008213975154282,0.7646790108749565,0.7448749642001176,0.6461916461916462,0.5985690081835996,0.6910804355253807,0.843558282208589,0.8001495133458818,0.8789646307671213,0.8375796178343949,0.7295423023578363,0.4918226780776255,275,51,144,263,patient bootstrap / patient-cluster bootstrap,2000,313,0.6900109680620479,0.774513725490196,2000,0.7047576343496855,0.7821993908408299,2000,0.5849632359043303,0.702971445636443,2000,0.7912431274773046,0.8955369257608063,2000,0.7793539724472197,0.895834976340694,2000,0.6788949312964424,0.772170494164014,2000,0.41108520997484593,0.5663144960444605,2000
ConvNeXtTiny,image,medium,730,341,389,0.8301369863013699,0.8011850511329736,0.8556325682675289,0.8351891080973095,0.7583547557840618,0.713421467254194,0.7982353232571738,0.9120234604105572,0.8771865301223211,0.9376806872968885,0.9076923076923077,0.8263305322128851,0.6729808271659771,311,30,94,295,patient bootstrap / patient-cluster bootstrap,2000,349,0.795038531638978,0.8626373626373627,2000,0.802247824207641,0.865326048215877,2000,0.7048644598193833,0.8062058253533971,2000,0.8718711279154518,0.9463736480396575,2000,0.8626783917491196,0.9468108642440218,2000,0.7858242313478525,0.8612574954871461,2000,0.6085011938972161,0.7338198783416043,2000
ConvNeXtTiny,image,large,631,453,178,0.9350237717908082,0.9130379495949897,0.9517448908638603,0.9001785847161248,0.8202247191011236,0.7572386909052302,0.8696810486268332,0.9801324503311258,0.9626771813189124,0.9895131061451975,0.9419354838709677,0.8768768768768769,0.8367074122196592,444,9,32,146,patient bootstrap / patient-cluster bootstrap,2000,262,0.9104920678006998,0.9576009871854723,2000,0.8653431285169026,0.9333150689474754,2000,0.7534202099270593,0.8806028149408398,2000,0.9578707478047742,0.9956903474119472,2000,0.875968992248062,0.9875795567824553,2000,0.8285714285714286,0.9213483146067416,2000,0.7763133650038486,0.893001222782715,2000
ConvNeXtTiny,patient,small,274,115,159,0.7664233576642335,0.7128529482560418,0.8126265846390887,0.7806945583811867,0.6918238993710691,0.6162354754886632,0.758362003812769,0.8695652173913043,0.7959024584651849,0.9193361530722793,0.88,0.7746478873239436,0.5562414271628118,100,15,49,110,patient bootstrap / patient-cluster bootstrap,2000,274,0.7153284671532847,0.8138686131386861,2000,0.7315340710480349,0.8279590341087668,2000,0.6158419324577861,0.761612168874172,2000,0.8053041097945103,0.9302376137512639,2000,0.8159947368421052,0.9344351389878831,2000,0.7142857142857143,0.8262295081967214,2000,0.4604113477058882,0.6496130049308498,2000
ConvNeXtTiny,patient,medium,247,115,132,0.8623481781376519,0.8138030623548679,0.8997950838269894,0.867292490118577,0.7954545454545454,0.7187547727810396,0.8554440077470554,0.9391304347826087,0.8796668779578461,0.9702048839866703,0.9375,0.860655737704918,0.7360410470380719,108,7,27,105,patient bootstrap / patient-cluster bootstrap,2000,247,0.8137651821862348,0.902834008097166,2000,0.8242568120913973,0.9082502648469141,2000,0.7218045112781954,0.8615460526315789,2000,0.8925619834710744,0.98,2000,0.88990631317058,0.9793867031348621,2000,0.8088840579710145,0.9059863945578231,2000,0.6498375079141419,0.8130425151596679,2000
ConvNeXtTiny,patient,large,218,156,62,0.944954128440367,0.9062639731601905,0.9682344232680564,0.9129445822994211,0.8387096774193549,0.7279366398602256,0.9099593112969091,0.9871794871794872,0.9544651890044474,0.9964770829283277,0.9629629629629629,0.896551724137931,0.8630999835585322,154,2,10,52,patient bootstrap / patient-cluster bootstrap,2000,218,0.9128440366972477,0.9724770642201835,2000,0.8622035251670906,0.9560675379647602,2000,0.74,0.9206349206349206,2000,0.9666610738255034,1.0,2000,0.904739010989011,1.0,2000,0.8282654127481713,0.9482803057234269,2000,0.7805027157392814,0.9317916470639896,2000
YOLOv8sSeg,image,small,733,326,407,0.800818553888131,0.7703704833707526,0.8281300417025993,0.8050715243966777,0.7665847665847666,0.7231132140916237,0.8050710656129876,0.843558282208589,0.8001495133458818,0.8789646307671213,0.859504132231405,0.8103896103896104,0.6064339381369542,275,51,95,312,patient bootstrap / patient-cluster bootstrap,2000,313,0.7601024827713732,0.838401386970534,2000,0.7641535671535672,0.8415448285022511,2000,0.7102120554924438,0.8172323759791122,2000,0.7857091097308488,0.8968807777331189,2000,0.8029317496229261,0.9105288583778287,2000,0.7656971116315379,0.8490351620751903,2000,0.5249159891607701,0.6798860164127652,2000
YOLOv8sSeg,image,medium,730,341,389,0.8465753424657534,0.8186228951879467,0.8708993359669374,0.849165843692753,0.8097686375321337,0.7678099432162553,0.8456690941630465,0.8885630498533724,0.8507415072140287,0.9177275768289981,0.8923512747875354,0.8490566037735849,0.6971973236871668,303,38,74,315,patient bootstrap / patient-cluster bootstrap,2000,349,0.811389271895949,0.8790831964105156,2000,0.8149311742378701,0.8814196663579089,2000,0.7617711350891647,0.8575581395348837,2000,0.8398752065854711,0.9315985386518574,2000,0.843237743557511,0.9357818225586434,2000,0.8127373850474495,0.8831266196318098,2000,0.6283221678146059,0.7610616166341329,2000
YOLOv8sSeg,image,large,631,453,178,0.9286846275752774,0.9059043296633155,0.9462769393498686,0.9128159337252275,0.8764044943820225,0.8199603941531208,0.9169452645950942,0.9492273730684326,0.9249676042501243,0.9659322739059508,0.8715083798882681,0.8739495798319328,0.8242326548486258,430,23,22,156,patient bootstrap / patient-cluster bootstrap,2000,262,0.9035304563307934,0.9514144543495298,2000,0.8815742112766348,0.9408490211723672,2000,0.8187001594896332,0.9289950372208436,2000,0.923068669527897,0.9727277491900134,2000,0.8,0.9306403824481041,2000,0.8246106870229007,0.9141313810842897,2000,0.763537305956508,0.8791672586749462,2000
YOLOv8sSeg,patient,small,274,115,159,0.8138686131386861,0.7635584341576961,0.8554996456913618,0.8215750615258408,0.7735849056603774,0.7025283332517955,0.8317336454240178,0.8695652173913043,0.7959024584651849,0.9193361530722793,0.8913043478260869,0.8282828282828283,0.6348203526770771,100,15,36,123,patient bootstrap / patient-cluster bootstrap,2000,274,0.7700729927007299,0.8613138686131386,2000,0.7775836670725751,0.8675365453172427,2000,0.7106876861966236,0.8366013071895425,2000,0.8079834862385321,0.9272727272727272,2000,0.8408933080808081,0.9395973154362416,2000,0.7813485049344528,0.8729666905335768,2000,0.5465533220281392,0.7248778480145313,2000
YOLOv8sSeg,patient,medium,247,115,132,0.8906882591093117,0.8456303711698936,0.9237799205233936,0.8926877470355732,0.8636363636363636,0.794734650287376,0.9119715411318179,0.9217391304347826,0.8579311820896179,0.9582822922531354,0.926829268292683,0.8941176470588236,0.7835195430861077,106,9,18,114,patient bootstrap / patient-cluster bootstrap,2000,247,0.8502024291497976,0.9271255060728745,2000,0.8523419905397296,0.9280650146040101,2000,0.8015873015873016,0.9166666666666666,2000,0.868421052631579,0.9658119658119658,2000,0.8790207373271889,0.9685100885826771,2000,0.8497854077253219,0.9305569727891156,2000,0.7026421600896777,0.8553252906462182,2000
YOLOv8sSeg,patient,large,218,156,62,0.963302752293578,0.9292704474722443,0.9812897384994356,0.950062034739454,0.9193548387096774,0.8247142865138739,0.9650616530140073,0.9807692307692307,0.9449912800060954,0.9934385936117746,0.95,0.9344262295081968,0.9091935586537129,153,3,5,57,patient bootstrap / patient-cluster bootstrap,2000,218,0.9357798165137615,0.9862385321100917,2000,0.9110845295055822,0.9828035466469692,2000,0.8448275862068966,0.9830508474576272,2000,0.9565217391304348,1.0,2000,0.8888888888888888,1.0,2000,0.8846153846153846,0.9752166901834307,2000,0.8445285268980118,0.9660879255654772,2000
